Game,Date,GameType,MyCoryat,CombinedCoryat,Contestant1Coryat,Contestant2Coryat,Contestant3Coryat,Contestant1FJ,Contestant2FJ,Contestant3FJ,Contestant1Win,Contestant2Win,Contestant3Win
8957,10/24/2023,Champions Wildcard Tournament,14400,26600,9600,15400,1600,F,T,F,F,T,F
8958,10/25/2023,Champions Wildcard Tournament,22800,41600,13400,19000,9200,T,T,T,F,T,F
8959,10/26/2023,Champions Wildcard Tournament,14000,26400,7600,13600,5200,T,F,T,T,F,F
8960,10/27/2023,Champions Wildcard Tournament,29000,29400,12200,11800,5400,T,F,F,F,F,T
8961,10/30/2023,Champions Wildcard Tournament,15400,32400,19400,8200,4800,F,T,F,T,F,F
8962,10/31/2023,Champions Wildcard Tournament,22200,40200,13800,22800,3600,F,F,F,T,F,F
8963,11/1/2023,Champions Wildcard Tournament,26000,35400,11800,8400,15200,F,F,T,F,F,T
8964,11/2/2023,Champions Wildcard Tournament,24800,42400,11800,21400,9200,F,T,T,F,T,F
8965,11/3/2023,Champions Wildcard Tournament,17400,27400,4200,9400,13800,F,F,F,F,F,T
8966,11/6/2023,Champions Wildcard Tournament,18000,31200,15400,10600,5200,F,T,F,F,T,F
8967,11/7/2023,Champions Wildcard Tournament,33400,42800,15600,20000,7200,T,F,T,T,F,F
8968,11/8/2023,Champions Wildcard Tournament,22400,31800,16200,12800,2800,F,F,F,T,F,F
8969,11/9/2023,Champions Wildcard Tournament,16800,39000,9800,13800,15400,T,T,F,F,T,F
8970,11/10/2023,Champions Wildcard Tournament,26800,34800,12200,14000,8600,F,T,T,F,T,F
8971,11/13/2023,Champions Wildcard Tournament,16400,40200,11000,9600,19600,T,T,T,F,F,T
8972,11/14/2023,Champions Wildcard Tournament,25000,37800,17800,12200,7800,T,F,T,T,F,F
8973,11/15/2023,Champions Wildcard Tournament,26400,33800,15400,10600,7800,F,F,F,F,T,F
8974,11/16/2023,Champions Wildcard Tournament,17600,26000,11800,3800,10400,F,F,T,T,F,F
8975,11/17/2023,Champions Wildcard Tournament,17200,39400,14000,8400,17000,T,F,F,T,F,F
8976,11/20/2023,Champions Wildcard Tournament,20400,29600,6800,8000,14800,T,T,F,F,F,T
8977,11/21/2023,Champions Wildcard Tournament,25000,36600,5800,22200,8600,F,F,F,F,T,F
8978,11/22/2023,Champions Wildcard Tournament,25200,33000,24800,3000,5200,F,F,T,T,F,F
8979,11/23/2023,Champions Wildcard Tournament,28400,46800,12400,19800,14600,T,F,T,T,F,F
8980,11/24/2023,Champions Wildcard Tournament,21800,45000,8400,12400,24200,T,T,T,F,F,T
8981,11/27/2023,Champions Wildcard Tournament,21800,38200,11600,13800,12800,F,F,F,F,F,T
8982,11/28/2023,Champions Wildcard Tournament,26000,38200,7600,16400,14200,T,F,T,F,F,T
8983,11/29/2023,Champions Wildcard Tournament,17200,29800,10600,8000,11200,F,F,F,F,F,T
8984,11/30/2023,Champions Wildcard Tournament,27200,39800,16800,15200,7800,T,F,F,T,F,F
8985,12/1/2023,Champions Wildcard Tournament,23000,45800,22800,10400,12600,T,T,F,T,F,F
8986,12/4/2023,Champions Wildcard Tournament,30200,35600,12600,10400,12600,T,F,T,T,F,F
8987,12/5/2023,Champions Wildcard Tournament,25800,30600,6400,14400,9800,T,T,T,F,T,F
8988,12/6/2023,Champions Wildcard Tournament,26600,36800,13600,10000,13200,T,F,T,T,F,F
8989,12/7/2023,Champions Wildcard Tournament,16000,29600,10000,12000,7600,F,T,F,F,T,F
8990,12/8/2023,Champions Wildcard Tournament,28000,44200,18800,13400,12000,T,F,T,T,F,F
8991,12/11/2023,Champions Wildcard Tournament,23000,38600,11800,12600,14200,T,F,T,F,F,T
8992,12/12/2023,Champions Wildcard Tournament,26600,34800,20400,4800,9600,T,T,T,T,F,F
8993,12/13/2023,Champions Wildcard Tournament,15000,38800,18400,10600,9800,T,T,T,T,F,F
8994,12/14/2023,Champions Wildcard Tournament,22800,42400,6600,18600,17200,F,T,F,F,T,F
8995,12/15/2023,Champions Wildcard Tournament,27400,39600,16800,8800,14000,F,T,F,F,T,F
8996,12/18/2023,Champions Wildcard Tournament,18600,48800,20000,11400,17400,T,F,F,T,F,F
8997,12/19/2023,Second Chance Tournament,22200,33200,12000,7800,13400,T,T,F,T,F,F
8998,12/20/2023,Second Chance Tournament,25000,46600,18000,16000,12600,T,T,T,T,F,F
8999,12/21/2023,Second Chance Tournament,16600,25000,7800,10400,6800,F,F,F,T,F,F
9000,12/22/2023,Second Chance Tournament,16000,45400,28400,10600,6400,T,T,F,T,F,F
9001,12/25/2023,Second Chance Tournament,22000,41000,16200,17800,7000,F,T,F,T,F,F
9002,12/26/2023,Second Chance Tournament,19200,37000,10800,16200,10000,T,T,F,T,F,F
9003,12/27/2023,Second Chance Tournament,17200,37600,11600,17200,8800,T,T,T,F,T,F
9004,12/28/2023,Second Chance Tournament,27200,32400,11600,7600,13200,T,T,T,F,F,T
9005,12/29/2023,Second Chance Tournament,23400,38800,15400,13600,9800,T,T,T,T,F,F
9006,1/1/2024,Second Chance Tournament,16200,27200,8200,10400,8600,T,T,F,F,T,F
9007,1/2/2024,Second Chance Tournament,23800,44000,14800,5800,23400,F,T,F,F,F,T
9008,1/3/2024,Second Chance Tournament,23200,34200,10000,11600,12600,T,T,F,F,T,F
9009,1/4/2024,Second Chance Tournament,21400,35800,16400,10200,9200,T,F,T,T,F,F
9010,1/5/2024,Second Chance Tournament,13000,39400,17000,14800,7600,F,F,F,T,F,F
9011,1/8/2024,Second Chance Tournament,23400,34800,15000,16800,3000,T,F,F,T,F,F
9012,1/9/2024,Second Chance Tournament,15200,29600,5800,10200,13600,T,T,F,T,F,F
9013,1/10/2024,Second Chance Tournament,6200,33000,16200,3200,13600,T,F,T,T,F,F
9014,1/11/2024,Second Chance Tournament,14200,41400,15000,11400,15000,T,F,F,T,F,F
9015,1/12/2024,Second Chance Tournament,34600,26400,11800,10000,4600,F,T,F,F,T,F
9016,1/15/2024,Second Chance Tournament,18200,34600,18000,15600,1000,F,F,F,F,T,F
9017,1/16/2024,Champions Wildcard Tournament,17800,22400,18000,-1800,6200,T,F,F,T,F,F
9018,1/17/2024,Champions Wildcard Tournament,19400,33400,6400,20000,7000,F,T,F,F,T,F
9019,1/18/2024,Champions Wildcard Tournament,20400,27600,9600,4600,13400,F,F,F,T,F,F
9020,1/19/2024,Champions Wildcard Tournament,26800,37200,12200,13600,11400,F,T,T,F,T,F
9021,1/22/2024,Champions Wildcard Tournament,27800,28200,8800,10600,8800,F,F,F,F,F,T
9022,1/23/2024,Champions Wildcard Tournament,20400,34600,18600,6000,10000,T,T,F,T,F,F
9023,1/24/2024,Champions Wildcard Tournament,22000,38600,9600,26600,2400,F,F,F,F,T,F
9024,1/25/2024,Champions Wildcard Tournament,25200,37400,7600,16600,13200,F,F,T,F,F,T
9025,1/26/2024,Champions Wildcard Tournament,21800,37000,12600,19000,5400,F,F,T,F,T,F
9026,1/29/2024,Champions Wildcard Tournament,25600,43000,19400,13400,10200,F,T,F,F,T,F
9027,1/30/2024,Champions Wildcard Tournament,16400,41200,19200,10000,12000,T,T,F,T,F,F
9028,1/31/2024,Champions Wildcard Tournament,29000,36800,19800,2600,14400,T,T,F,T,F,F
9029,2/1/2024,Champions Wildcard Tournament,21200,44200,21200,7400,15600,F,T,F,T,F,F
9030,2/2/2024,Champions Wildcard Tournament,26200,28000,12800,4000,11200,F,F,F,T,F,F
9031,2/5/2024,Champions Wildcard Tournament,26800,31000,8000,19200,3800,T,T,F,F,T,F
9032,2/6/2024,Champions Wildcard Tournament,27600,35800,13000,5200,17600,F,F,F,T,F,F
9033,2/7/2024,Champions Wildcard Tournament,16600,36800,5800,15000,16000,F,F,F,F,F,T
9034,2/8/2024,Champions Wildcard Tournament,23600,33600,17200,1000,15400,F,F,F,T,F,F
9035,2/9/2024,Champions Wildcard Tournament,17400,36800,6800,15400,14600,T,F,F,F,T,F
9036,2/12/2024,Champions Wildcard Tournament,23000,36000,13200,19400,3400,T,F,T,T,F,F
9037,2/13/2024,Champions Wildcard Tournament,30000,41600,16800,21800,3000,T,T,T,F,T,F
9038,2/14/2024,Champions Wildcard Tournament,16000,30400,13200,10600,6600,T,F,F,T,F,F
9039,2/15/2024,Champions Wildcard Tournament,21000,39600,19200,12800,7600,F,F,F,T,F,F
9040,2/16/2024,Champions Wildcard Tournament,24200,32200,9000,7200,16000,F,T,T,F,F,T
9041,2/19/2024,Champions Wildcard Tournament,15000,33600,14400,14600,4600,T,T,T,F,T,F
9042,2/20/2024,Champions Wildcard Tournament,10400,33000,8400,10200,14400,F,F,T,F,F,T
9043,2/21/2024,Champions Wildcard Tournament,13600,36600,13600,13200,9800,T,F,F,T,F,F
9044,2/22/2024,Champions Wildcard Tournament,13000,33000,8200,14200,10600,F,F,F,T,F,F
9045,2/23/2024,Tournament of Champions,16600,29200,16400,5400,7400,F,F,T,T,F,F
9046,2/26/2024,Tournament of Champions,14000,39000,14000,4400,20600,F,F,T,F,F,T
9047,2/27/2024,Tournament of Champions,15200,37200,17400,16600,3200,T,T,T,F,T,F
9048,2/28/2024,Tournament of Champions,13600,43000,7800,8400,26800,F,F,F,F,F,T
9049,2/29/2024,Tournament of Champions,17400,37200,11200,5800,20200,T,F,F,T,F,F
9050,3/1/2024,Tournament of Champions,23000,24600,200,16000,8400,F,F,F,F,T,F
9051,3/4/2024,Tournament of Champions,17200,35800,13800,13600,8400,T,F,T,F,F,T
9052,3/5/2024,Tournament of Champions,15600,36400,24000,10000,2400,F,F,F,T,F,F
9053,3/6/2024,Tournament of Champions,16800,42000,25400,9400,7200,T,F,F,T,F,F
9054,3/7/2024,Tournament of Champions,20400,34200,11000,12800,10400,F,F,F,F,T,F
9055,3/8/2024,Tournament of Champions,20000,39400,6200,20400,12800,F,T,F,F,T,F
9056,3/11/2024,Tournament of Champions,13000,45200,16600,22400,6200,F,F,F,F,T,F
9057,3/12/2024,Tournament of Champions,13000,45600,15600,20000,10000,T,F,T,F,F,T
9058,3/13/2024,Tournament of Champions,15800,48200,12400,25400,10400,T,T,T,F,T,F
9059,3/14/2024,Tournament of Champions,22000,50200,18600,13800,17800,T,T,T,T,F,F
9060,3/15/2024,Tournament of Champions,24400,49400,20400,20000,9000,F,F,T,F,F,T
9061,3/18/2024,Tournament of Champions,18200,46800,25600,12000,9200,F,T,T,T,F,F
9062,3/19/2024,Tournament of Champions,13800,44800,16600,18000,10200,F,F,T,T,F,F
9063,3/20/2024,Jeopardy! Invitational Tournament,17600,41600,6400,16800,18400,F,F,T,F,F,T
9064,3/21/2024,Jeopardy! Invitational Tournament,16400,42400,8800,12200,21400,T,F,T,F,F,T
9065,3/22/2024,Jeopardy! Invitational Tournament,16800,45200,5800,27800,11600,F,T,T,F,T,F
9066,3/25/2024,Jeopardy! Invitational Tournament,14600,35000,800,9000,25200,F,F,F,F,F,T
9067,3/26/2024,Jeopardy! Invitational Tournament,14400,31000,600,15400,15000,F,T,T,F,F,T
9068,3/27/2024,Jeopardy! Invitational Tournament,16200,34400,14200,7200,13000,F,T,F,F,T,F
9069,3/28/2024,Jeopardy! Invitational Tournament,15400,38400,11600,11000,15800,F,F,F,T,F,F
9070,3/29/2024,Jeopardy! Invitational Tournament,20600,38200,22800,7600,7800,T,F,T,T,F,F
9071,4/1/2024,Jeopardy! Invitational Tournament,16200,36800,8000,13800,15000,F,F,T,F,F,T
9072,4/2/2024,Jeopardy! Invitational Tournament,13200,40600,17600,10200,12800,T,F,T,T,F,F
9073,4/3/2024,Jeopardy! Invitational Tournament,13400,45200,16800,19200,9200,F,T,F,F,T,F
9074,4/4/2024,Jeopardy! Invitational Tournament,14200,39200,10400,11800,17000,F,T,T,F,F,T
9075,4/5/2024,Jeopardy! Invitational Tournament,12800,35600,15000,14000,6600,T,F,F,T,F,F
9076,4/8/2024,Jeopardy! Invitational Tournament,12200,37000,1200,27200,8600,T,T,T,F,T,F
9077,4/9/2024,Jeopardy! Invitational Tournament,9600,43600,13400,20200,10000,T,T,T,F,T,F
9078,4/10/2024,Regular Season Play,20000,20800,7600,5200,8000,F,F,F,F,T,F
9079,4/11/2024,Regular Season Play,27600,30000,3200,13600,13200,F,T,T,F,F,T
9080,4/12/2024,Regular Season Play,21600,34200,19200,8400,6600,T,F,T,T,F,F
9081,4/15/2024,Regular Season Play,25200,30600,17400,8400,4800,T,T,F,T,F,F
9082,4/16/2024,Regular Season Play,24400,23800,9800,0,14000,F,F,F,T,F,F
9083,4/17/2024,Regular Season Play,23000,19600,9600,4600,5400,T,F,F,T,F,F
9084,4/18/2024,Regular Season Play,21200,31600,12800,7600,11200,F,F,F,F,F,T
9085,4/19/2024,Regular Season Play,21600,35400,20400,9200,5800,T,F,T,T,F,F
9086,4/22/2024,Regular Season Play,23400,38600,15000,24400,-800,F,F,F,F,T,F
9087,4/23/2024,Regular Season Play,25400,35800,20200,6600,9000,F,T,T,F,F,T
9088,4/24/2024,Regular Season Play,15200,38200,11600,9400,17200,T,T,T,F,F,T
9089,4/25/2024,Regular Season Play,15000,30200,20600,7600,2000,F,F,F,T,F,F
9090,4/26/2024,Regular Season Play,20400,30600,17200,10200,3200,T,T,F,T,F,F
9091,4/29/2024,Regular Season Play,28200,30800,13800,16200,800,T,F,T,T,F,F
9092,4/30/2024,Regular Season Play,15800,28600,7600,13400,7600,T,T,F,T,F,F
9093,5/1/2024,Regular Season Play,20200,28200,11800,11400,5000,F,F,F,F,T,F
9094,5/2/2024,Regular Season Play,19000,34200,15000,10200,9000,T,T,T,T,F,F
9095,5/3/2024,Regular Season Play,25000,22800,5600,9400,7800,T,F,F,T,F,F
9096,5/6/2024,Regular Season Play,15000,42000,21400,10000,10600,F,T,F,F,T,F
9097,5/7/2024,Regular Season Play,19200,21200,7000,4000,10200,F,T,F,F,F,T
9098,5/8/2024,Regular Season Play,19600,30000,16400,6400,7200,F,F,F,T,F,F
9099,5/9/2024,Regular Season Play,19400,29600,17200,200,12200,T,F,F,T,F,F
9100,5/10/2024,Regular Season Play,20200,35600,8800,10800,16000,F,T,T,F,F,T
9101,5/13/2024,Regular Season Play,22600,27000,18200,-400,9200,T,F,T,T,F,F
9102,5/14/2024,Regular Season Play,24600,39800,19400,11200,9200,F,F,F,T,F,F
9103,5/15/2024,Regular Season Play,21800,32600,12200,6600,13800,T,T,T,F,F,T
9104,5/16/2024,Regular Season Play,24400,29400,17400,9600,2400,T,F,F,T,F,F
9105,5/17/2024,Regular Season Play,25000,31200,13800,10400,7000,T,F,F,T,F,F
9106,5/20/2024,Regular Season Play,23400,27600,8200,12400,7000,T,F,T,T,F,F
9107,5/21/2024,Regular Season Play,19000,30000,14000,3400,12600,T,T,T,F,F,T
9108,5/22/2024,Regular Season Play,23800,27800,13000,2000,12800,F,F,T,F,F,T
9109,5/23/2024,Regular Season Play,25000,24400,13200,3000,8200,F,F,T,T,F,F
9110,5/24/2024,Regular Season Play,24400,28400,15800,11200,1400,T,T,F,T,F,F
9111,5/27/2024,Regular Season Play,21800,26400,14200,5000,7200,F,F,F,T,F,F
9112,5/28/2024,Regular Season Play,28000,32000,12000,8200,11800,F,F,F,F,T,F
9113,5/29/2024,Regular Season Play,29200,31000,12400,13600,5000,T,T,F,F,T,F
9114,5/30/2024,Regular Season Play,19000,29600,21800,4800,3000,F,T,F,T,F,F
9115,5/31/2024,Regular Season Play,23600,37200,16400,6200,14600,T,F,F,T,F,F
9116,6/3/2024,Regular Season Play,21400,38000,20200,6000,11800,F,F,F,T,F,F
9117,6/4/2024,Regular Season Play,21000,29200,17400,3200,8600,T,F,T,T,F,F
9118,6/5/2024,Regular Season Play,27600,32200,20600,2400,9200,T,T,T,T,F,F
9119,6/6/2024,Regular Season Play,22400,38000,18800,7200,12000,T,F,F,T,F,F
9120,6/7/2024,Regular Season Play,23400,38800,20600,13600,4600,T,F,T,T,F,F
9121,6/10/2024,Regular Season Play,27600,27000,11800,1600,13600,T,F,F,T,F,F
9122,6/11/2024,Regular Season Play,16800,33200,17400,5600,10200,T,T,T,T,F,F
9123,6/12/2024,Regular Season Play,27600,45600,21200,9600,14800,T,F,T,T,F,F
9124,6/13/2024,Regular Season Play,17800,30200,13600,10200,6400,T,F,T,T,F,F
9125,6/14/2024,Regular Season Play,23800,37200,12000,10200,15000,T,F,F,T,F,F
9126,6/17/2024,Regular Season Play,14800,26200,14200,9800,2200,T,T,F,T,F,F
9127,6/18/2024,Regular Season Play,23400,37600,13600,9400,14600,T,F,T,T,F,F
9128,6/19/2024,Regular Season Play,14200,33000,8600,14800,9600,F,F,T,F,T,F
9129,6/20/2024,Regular Season Play,28800,34400,14400,8600,11400,F,F,F,T,F,F
9130,6/21/2024,Regular Season Play,28000,35400,18000,4000,13400,T,F,T,T,F,F
9131,6/24/2024,Regular Season Play,18200,28800,26200,-7200,9800,F,F,F,T,F,F
9132,6/25/2024,Regular Season Play,24000,28600,10400,7400,10800,T,F,T,T,F,F
9133,6/26/2024,Regular Season Play,22400,33000,17000,6200,9800,T,F,F,T,F,F
9134,6/27/2024,Regular Season Play,16600,35600,18000,7800,9800,F,F,T,T,F,F
9135,6/28/2024,Regular Season Play,18600,22000,15600,600,5800,F,T,T,F,F,T
9136,7/1/2024,Regular Season Play,17400,28400,14800,10600,3000,F,T,T,F,T,F
9137,7/2/2024,Regular Season Play,22800,27200,600,13400,13200,F,F,T,F,F,T
9138,7/3/24,Regular Season Play,25200,39800,8000,22000,9800,F,F,F,F,T,F
9139,7/4/2024,Regular Season Play,22600,40600,23200,6400,11000,T,F,T,T,F,F
9140,7/5/2024,Regular Season Play,26000,32200,25000,2200,5000,F,T,F,T,F,F
9141,7/8/2024,Regular Season Play,24000,35200,23000,7200,5000,T,T,T,T,F,F
9142,7/9/2024,Regular Season Play,23400,29600,16400,9400,3800,T,F,F,T,F,F
9143,7/10/2024,Regular Season Play,20400,36600,16400,9600,10600,T,T,T,T,F,F
9144,7/11/2024,Regular Season Play,20000,25800,18000,5800,2000,T,F,F,T,F,F
9145,7/12/2024,Regular Season Play,21400,33200,22800,13000,-2600,T,T,F,T,F,F
9146,7/15/2024,Regular Season Play,25600,25600,13800,4000,7800,T,T,F,T,F,F
9147,7/16/2024,Regular Season Play,20200,40200,23400,16200,600,F,F,F,F,T,F
9148,7/17/2024,Regular Season Play,7400,22400,16000,4600,1800,F,F,F,T,F,F
9149,7/18/2024,Regular Season Play,20800,25400,6600,12800,6000,T,F,F,T,F,F
9150,7/19/2024,Regular Season Play,18600,26600,7000,5400,14200,T,F,F,F,F,T
9151,7/22/2024,Regular Season Play,17200,36200,23400,5200,7600,T,F,F,T,F,F
9152,7/23/2024,Regular Season Play,22000,28400,19000,11800,-2400,F,F,F,T,F,F
9153,7/24/2024,Regular Season Play,24600,31600,15200,7800,8600,F,F,T,F,F,T
9154,7/25/2024,Regular Season Play,17200,15600,14000,400,1200,T,T,F,T,F,F
9155,7/26/2024,Regular Season Play,25800,31400,6000,13600,11800,F,F,T,F,F,T
